"filename", "language", "PHP", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\kiki\velo-expresso-back\README.md", "Markdown", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Bikes.controller.php", "PHP", 35, 0, 0, 0, 5, 40
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Functions.controller.php", "PHP", 17, 0, 0, 5, 3, 25
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Home.controller.php", "PHP", 55, 0, 0, 3, 13, 71
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Main.controller.php", "PHP", 58, 0, 0, 5, 9, 72
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Rental.controller.php", "PHP", 25, 0, 0, 0, 5, 30
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Tools.controller.php", "PHP", 42, 0, 0, 2, 6, 50
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Workshop.controller.php", "PHP", 56, 0, 0, 0, 8, 64
"c:\xampp\htdocs\kiki\velo-expresso-back\index.php", "PHP", 98, 0, 0, 15, 43, 156
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Bikes.model.php", "PHP", 5, 0, 0, 0, 4, 9
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Home.model.php", "PHP", 5, 0, 0, 0, 4, 9
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Main.model.php", "PHP", 30, 0, 0, 0, 3, 33
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Rental.model.php", "PHP", 5, 0, 0, 0, 4, 9
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Workshop.model.php", "PHP", 62, 0, 0, 0, 11, 73
"c:\xampp\htdocs\kiki\velo-expresso-back\models\pdo.model.php", "PHP", 24, 0, 0, 2, 1, 27
"c:\xampp\htdocs\kiki\velo-expresso-back\public\javascript\app.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\xampp\htdocs\kiki\velo-expresso-back\views\common\template.php", "PHP", 34, 0, 0, 0, 11, 45
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\footer.php", "PHP", 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\header.php", "PHP", 60, 0, 0, 0, 6, 66
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\bikes_notice.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\home_notice.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\notices.php", "PHP", 13, 0, 0, 0, 5, 18
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\rental_notice.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\workshop_notice.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\bikes.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\features.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\errorPage.view.php", "PHP", 6, 0, 0, 0, 8, 14
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\homePage.view.php", "PHP", 26, 0, 0, 0, 9, 35
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\frames.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\opinions.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\partners.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\sliders.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\rental.view.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop.view.php", "PHP", 60, 0, 0, 0, 2, 62
"Total", "-", 726, 8, 0, 32, 167, 933
