"filename", "language", "PHP", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\kiki\velo-expresso-back\README.md", "Markdown", 0, 1, 0, -1, 0
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Workshop.controller.php", "PHP", 92, 0, 2, 8, 102
"c:\xampp\htdocs\kiki\velo-expresso-back\index.php", "PHP", 43, 0, 1, -2, 42
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Workshop.model.php", "PHP", 115, 0, 2, 6, 123
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\header.php", "PHP", 3, 0, 0, 0, 3
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop.view.php", "PHP", -60, 0, 0, -2, -62
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop\categories.view.php", "PHP", 59, 0, 0, 3, 62
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop\category.view.php", "PHP", 69, 0, 0, 9, 78
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop\showAllTasks.view.php", "PHP", 19, 0, 0, 5, 24
"Total", "-", 340, 1, 5, 26, 372
