"filename", "language", "PHP", "SCSS", "JavaScript", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\kiki\velo-expresso-back\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 9, 18
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Bikes.controller.php", "PHP", 155, 0, 0, 0, 0, 0, 0, 33, 188
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\FeaturesBikes.controller.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 8, 54
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Functions.controller.php", "PHP", 17, 0, 0, 0, 0, 0, 5, 3, 25
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Home.controller.php", "PHP", 45, 0, 0, 0, 0, 0, 3, 14, 62
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Main.controller.php", "PHP", 58, 0, 0, 0, 0, 0, 5, 12, 75
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Opinions.controller.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 19, 92
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Partners.controller.php", "PHP", 58, 0, 0, 0, 0, 0, 2, 11, 71
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Rental.controller.php", "PHP", 133, 0, 0, 0, 0, 0, 1, 29, 163
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Slider.controller.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Tools.controller.php", "PHP", 73, 0, 0, 0, 0, 0, 8, 11, 92
"c:\xampp\htdocs\kiki\velo-expresso-back\controllers\Workshop.controller.php", "PHP", 159, 0, 0, 0, 0, 0, 3, 17, 179
"c:\xampp\htdocs\kiki\velo-expresso-back\index.php", "PHP", 173, 0, 0, 0, 0, 0, 17, 46, 236
"c:\xampp\htdocs\kiki\velo-expresso-back\indexComponents\bikes.index.php", "PHP", 90, 0, 0, 0, 0, 0, 5, 14, 109
"c:\xampp\htdocs\kiki\velo-expresso-back\indexComponents\featuresBikes.index.php", "PHP", 20, 0, 0, 0, 0, 0, 4, 6, 30
"c:\xampp\htdocs\kiki\velo-expresso-back\indexComponents\opinions.index.php", "PHP", 22, 0, 0, 0, 0, 0, 4, 8, 34
"c:\xampp\htdocs\kiki\velo-expresso-back\indexComponents\partners.index.php", "PHP", 23, 0, 0, 0, 0, 0, 3, 7, 33
"c:\xampp\htdocs\kiki\velo-expresso-back\indexComponents\rental.index.php", "PHP", 57, 0, 0, 0, 0, 0, 5, 13, 75
"c:\xampp\htdocs\kiki\velo-expresso-back\indexComponents\slider.index.php", "PHP", 6, 0, 0, 0, 0, 0, 3, 7, 16
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Bikes.model.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 15, 118
"c:\xampp\htdocs\kiki\velo-expresso-back\models\FeaturesBikes.model.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 13, 54
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Home.model.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Main.model.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Opinions.model.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 17, 73
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Partners.model.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 9, 55
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Rental.model.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 21, 129
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Slider.model.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\kiki\velo-expresso-back\models\Workshop.model.php", "PHP", 177, 0, 0, 0, 0, 0, 3, 20, 200
"c:\xampp\htdocs\kiki\velo-expresso-back\models\pdo.model.php", "PHP", 44, 0, 0, 0, 0, 0, 3, 1, 48
"c:\xampp\htdocs\kiki\velo-expresso-back\package-lock.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\xampp\htdocs\kiki\velo-expresso-back\package.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\xampp\htdocs\kiki\velo-expresso-back\public\javascript\app.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\kiki\velo-expresso-back\public\style\custom\_custom.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\xampp\htdocs\kiki\velo-expresso-back\public\style\style.css", "CSS", 0, 0, 0, 0, 0, 21876, 46, 1792, 23714
"c:\xampp\htdocs\kiki\velo-expresso-back\public\style\style.scss", "SCSS", 0, 4, 0, 0, 0, 0, 7, 4, 15
"c:\xampp\htdocs\kiki\velo-expresso-back\views\common\template.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 13, 55
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\footer.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\header.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 5, 74
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\bikes_notice.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\general_notice.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\home_notice.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\notices.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\rental_notice.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\components\notices\workshop_notice.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\bikes.view.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 8, 45
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\createBike.view.php", "PHP", 160, 0, 0, 0, 0, 0, 0, 5, 165
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\features.view.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 2, 54
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\new_bikes.view.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 8, 47
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\oneBikePage.view.php", "PHP", 318, 0, 0, 0, 0, 0, 0, 4, 322
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\bikes\used_bikes.view.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 8, 48
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\errorPage.view.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 8, 14
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\homePage.view.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 9, 35
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\frames.view.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\opinions.view.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\partners.view.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 10, 41
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\home\sliders.view.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 6, 10
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\opinions\opinionsPage.view.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\opinions\validatedOpinionsPage.view.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\rental\addRental.view.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 12, 33
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\rental\allRentals.view.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\rental\modifyRental.view.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 9, 38
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\rental\textUnderArray.view.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop\categories.view.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 2, 61
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop\category.view.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 9, 78
"c:\xampp\htdocs\kiki\velo-expresso-back\views\pages\workshop\showAllTasks.view.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"Total", "-", 3007, 25, 8, 9, 59, 21876, 127, 2338, 27449
